ticker,name,type
BA,Boeing Co,Aerospace
SPCE,Virgin Galactic Holdings Inc,Aerospace
SPR,"Spirit AeroSystems Holdings, Inc.",Aerospace
AAL,American Airlines Group Inc,Airlines
AFp,Air France-Klm,Airlines
DAL,Delta Air Lines Inc,Airlines
ICAG,International Consolidated Airlines Group SA - EUR,Airlines
LHA,Deutsche Lufthansa AG,Airlines
F,Ford Motor Co,Automotive
GM,General Motors Co,Automotive
GT,The Goodyear Tire & Rubber Company,Automotive
HYLN,Hyliion Holdings Corp.,Automotive
LCID,"Lucid Group, Inc.",Automotive
LIus,Li Auto Inc,Automotive
MVST,"Microvast Holdings, Inc.",Automotive
NIO,NIO Inc - ADR,Automotive
QS,QuantumScape Corporation,Automotive
RIVN,"Rivian Automotive, Inc.",Automotive
TSLA,Tesla Inc,Automotive
VOW3,Volkswagen AG (Pfd),Automotive
WKHS,Workhorse Group Inc.,Automotive
XPEV,XPeng Inc - ADR,Automotive
CRON,Cronos Group Inc.,Cannabis
TLRY,Tilray Inc,Cannabis
PINS,Pinterest Inc,Communication
ADS.DE,Adidas AG,Consumer
APRN,"Blue Apron Holdings, Inc. Class",Consumer
ATER,"Aterian, Inc.",Consumer
BIG,Big Lots,Consumer
BRCC,BRC Inc.,Consumer
BYND,Beyond Meat Inc,Consumer
GAP,"The Gap, Inc.",Consumer
KO,Coca-Cola Co,Consumer
M,Macys,Consumer
PTON,Peloton Interactive Inc,Consumer
SBUX,Starbucks Corp,Consumer
WMT,Wal-Mart Stores Inc,Consumer
WW,"Weight Watchers International, Inc.",Consumer
AMZN,Amazon.com Inc,E-commerce
BABA,Alibaba Group Holding Limited,E-commerce
BZUN,Baozun Inc.,E-commerce
CPNG,"Coupang, Inc.",E-commerce
EBAY,eBay,E-commerce
JD,JD.com Inc,E-commerce
JMIA,Jumia Technologies AG,E-commerce
LOGCus,ContextLogic Inc,E-commerce
VIPS,Vipshop Holdgs Spon Ads Rep 0.20,E-commerce
ARKK,ARK Innovation ETF,ETF
BITO,ProShares Bitcoin Strategy ETF,ETF
DRIV,Global X Autonomous & Electric Vehicles ETF,ETF
ICLN,iShares Global Clean Energy ETF,ETF
LIT,Global X Lithium & Battery Tech ETF,ETF
MCHI,iShares MSCI China ETF,ETF
MJ,ETFMG Alternative Harvest ETF,ETF
PBD,Invesco Global Clean Energy ETF,ETF
SPXU,ProShares UltraPro Short S&P500,ETF
SPY,SPDR S&P 500 ETF,ETF
TAN,Invesco Solar ETF,ETF
TLT,iShares 20+ Year Treasury Bond ETF,ETF
TQQQ,ProShares UltraPro QQQ,ETF
UVXY,ProShares Ultra VIX Short-Term Futures ETF,ETF
VOO,Vanguard S&P 500 ETF,ETF
YOLO,AdvisorShares Pure Cannabis ETF,ETF
COUR,"Coursera, Inc.",Education
EDU,New Orientl Eductn Grp Adr Rep 1,Education
TAL,Tal Education Grp Adr Rep 2 Cl A,Education
UDMY,"Udemy, Inc.",Education
A2A,A2A SPA,Energy
